id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-426617,2024-01-10,000001,Vente,351320,69,,AV DE LA REPUBLIQUE,0450,78550,78381,Maulette,78,,,78381000AA0084,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,279,1.614521,48.793952
2024-426618,2024-01-12,000001,Vente,320100,61,,RUE RAYMOND PATENOTRE,0680,78120,78517,Rambouillet,78,,,78517000AM0100,,,1,,26,70.89,,,,,,,2,3,Dépendance,,0,,,,,,1.830205,48.638397
2024-426618,2024-01-12,000001,Vente,320100,61,,RUE RAYMOND PATENOTRE,0680,78120,78517,Rambouillet,78,,,78517000AM0100,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.830205,48.638397
2024-426618,2024-01-12,000001,Vente,320100,61,,RUE RAYMOND PATENOTRE,0680,78120,78517,Rambouillet,78,,,78517000AM0100,,,1,,26,70.89,,,,,,,2,2,Appartement,72,3,,,,,,1.830205,48.638397
2024-426619,2024-01-10,000001,Vente,1,,,LA LOUPE,B017,78790,78439,Mulcent,78,,,78439000ZC0010,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1360,1.661422,48.882064
2024-426620,2024-01-11,000001,Vente en l'état futur d'achèvement,252936,66,,RUE DU LIEUTENANT RICARD,1120,78400,78146,Chatou,78,,,78146000AP0269,,,12,,,,,,,,,,1,,,,,,,,,,2.147617,48.900121
2024-426620,2024-01-11,000001,Vente en l'état futur d'achèvement,252936,66,,RUE DU LIEUTENANT RICARD,1120,78400,78146,Chatou,78,,,78146000AP0269,,,50,,,,,,,,,,1,,,,,,,,,,2.147617,48.900121
2024-426621,2024-01-05,000001,Vente,132000,10,,BD VICTOR DUHAMEL,2180,78200,78361,Mantes-la-Jolie,78,,,78361000AE0388,,,111,43.66,,,,,,,,,1,2,Appartement,44,2,,,,,,1.716173,48.984729
2024-426621,2024-01-05,000001,Vente,132000,10,,BD VICTOR DUHAMEL,2180,78200,78361,Mantes-la-Jolie,78,,,78361000AE0388,,,111,43.66,,,,,,,,,1,3,Dépendance,,0,,,,,,1.716173,48.984729
2024-426621,2024-01-05,000001,Vente,132000,10,,BD VICTOR DUHAMEL,2180,78200,78361,Mantes-la-Jolie,78,,,78361000AE0388,,,1117,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.716173,48.984729
2024-426622,2024-01-04,000001,Vente,15000,121,B,RUE JOSEPH KESSEL,0234,78280,78297,Guyancourt,78,,,78297000AV0639,,,75,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.058066,48.766258
2024-426623,2024-01-08,000001,Vente en l'état futur d'achèvement,311000,1,,RUE DE L AVRE,0034,78340,78165,Les Clayes-sous-Bois,78,,,78165000AO0373,,,101,,,,,,,,,,1,,,,,,,,,,1.972548,48.823765
2024-426623,2024-01-08,000001,Vente en l'état futur d'achèvement,311000,1,,RUE DE L AVRE,0034,78340,78165,Les Clayes-sous-Bois,78,,,78165000AO0373,,,201,,,,,,,,,,1,,,,,,,,,,1.972548,48.823765
2024-426624,2024-01-08,000001,Vente,320000,9003,,RUE DES NEREIDES,1399,78180,78423,Montigny-le-Bretonneux,78,,,78423000AY0673,,,170,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.0268,48.767357
2024-426624,2024-01-08,000001,Vente,320000,9,,RUE DES NEREIDES,1399,78180,78423,Montigny-le-Bretonneux,78,,,78423000AY0673,,,108,64.2,,,,,,,,,1,2,Appartement,63,3,,,,,,2.0268,48.767357
2024-426625,2024-01-09,000001,Vente,670000,4,,RUE PIERRE MIGNARD,2330,78000,78646,Versailles,78,,,78646000BE0227,,,,,,,,,,,,,0,1,Maison,71,4,S,sols,,,275,2.160852,48.796438
2024-426625,2024-01-09,000001,Vente,670000,4,,RUE PIERRE MIGNARD,2330,78000,78646,Versailles,78,,,78646000BE0227,,,,,,,,,,,,,0,1,Maison,25,1,S,sols,,,275,2.160852,48.796438
2024-426625,2024-01-09,000001,Vente,670000,4,,RUE PIERRE MIGNARD,2330,78000,78646,Versailles,78,,,78646000BE0228,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,RUE,Rue,50,2.160781,48.796477
2024-426626,2024-01-08,000001,Vente,183000,13,,RUE MAURICE CLERET,0520,78790,78591,Septeuil,78,,,78591000AH0219,,,3,83.76,7,,,,,,,,2,3,Dépendance,,0,,,,,,1.679594,48.893159
2024-426626,2024-01-08,000001,Vente,183000,13,,RUE MAURICE CLERET,0520,78790,78591,Septeuil,78,,,78591000AH0219,,,3,83.76,7,,,,,,,,2,2,Appartement,66,3,,,,,,1.679594,48.893159
2024-426626,2024-01-08,000001,Vente,183000,13,,RUE MAURICE CLERET,0520,78790,78591,Septeuil,78,,,78591000AH0219,,,3,83.76,7,,,,,,,,2,3,Dépendance,,0,,,,,,1.679594,48.893159
2024-426627,2024-01-05,000001,Vente,520000,11,,RUE JOHN LENNON,1195,78180,78423,Montigny-le-Bretonneux,78,,,78423000AT0385,,,,,,,,,,,,,0,1,Maison,112,6,S,sols,,,437,2.030323,48.764464
2024-426628,2024-01-09,000001,Vente,348000,3,,RUE DES PRES,1580,78300,78498,Poissy,78,,,78498000AX0203,,,176,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.048384,48.934896
